10.4.15,3DMAX,Titan,inferno,17:19
10.4.15,CPH Wolves,EnVyUs,inferno,4:16
10.4.15,CPH Wolves,EnVyUs,overpass,6:16
10.4.15,TSM,Virtus.pro,mirage,16:12
10.4.15,Virtus.pro,TSM,cache,16:14
10.4.15,Virtus.pro,TSM,overpass,12:16
10.4.15,dignitas,Natus Vincere,inferno,16:12
10.4.15,Natus Vincere,dignitas,mirage,16:2
10.4.15,Natus Vincere,dignitas,cobblestone,11:16
9.4.15,Cloud9,Liquid,cache,16:9
9.4.15,Cloud9,CLG,nuke,4:16
8.4.15,fnatic,FlipSid3,overpass,16:1
8.4.15,fnatic,FlipSid3,mirage,16:3
8.4.15,FlipSid3,fnatic,cobblestone,7:16
7.4.15,NiP,Titan,mirage,6:16
7.4.15,TSM,Titan,cobblestone,6:16
7.4.15,NiP,LGB,mirage,16:12
7.4.15,fnatic,TSM,mirage,10:16
7.4.15,Natus Vincere,FlipSid3,mirage,14:16
7.4.15,FlipSid3,Natus Vincere,cobblestone,16:14
7.4.15,Natus Vincere,FlipSid3,overpass,16:5
7.4.15,Natus Vincere,FlipSid3,cache,6:16
6.4.15,fnatic,Virtus.pro,mirage,6:16
6.4.15,Natus Vincere,PENTA,cache,16:3
6.4.15,Natus Vincere,PENTA,mirage,16:11
6.4.15,Virtus.pro,TSM,inferno,6:16
6.4.15,EnVyUs,Natus Vincere,inferno,16:11
6.4.15,Virtus.pro,FlipSid3,inferno,9:16
6.4.15,Virtus.pro,FlipSid3,nuke,21:19
6.4.15,FlipSid3,Virtus.pro,cobblestone,16:14
5.4.15,NiP,fnatic,mirage,16:8
5.4.15,NiP,fnatic,cache,16:10
5.4.15,NiP,fnatic,cobblestone,11:16
5.4.15,fnatic,NiP,inferno,13:16
5.4.15,Vox Eminor,Immunity,overpass,14:16
5.4.15,The Chiefs,AVANT GARDE,mirage,16:12
5.4.15,TRIDENT,Streamline,cache,16:12
4.4.15,Virtus.pro,TSM,inferno,16:10
4.4.15,TSM,Virtus.pro,cobblestone,14:16
4.4.15,dignitas,TSM,inferno,9:16
4.4.15,dignitas,FlipSid3,mirage,16:4
4.4.15,Virtus.pro,TSM,cache,16:14
4.4.15,Virtus.pro,TSM,nuke,16:14
4.4.15,Virtus.pro,TSM,mirage,12:16
4.4.15,LGB,FlipSid3,mirage,3:16
4.4.15,Gamers2,dignitas,mirage,3:16
4.4.15,CPH Wolves,dignitas,dust2,6:16
4.4.15,3DMAX,FlipSid3,cache,17:19
4.4.15,Reason,dignitas,inferno,3:16
4.4.15,CPH Wolves,Orbit,overpass,16:11
4.4.15,CPLAY,FlipSid3,inferno,14:16
4.4.15,Property,3DMAX,dust2,5:16
4.4.15,Virtus.pro,Gamers2,cache,16:13
4.4.15,Virtus.pro,Gamers2,mirage,16:0
4.4.15,LGB,TSM,overpass,14:16
4.4.15,LGB,TSM,inferno,1:16
4.4.15,Reason,Games4u,inferno,16:2
4.4.15,Playing Ducks,Orbit,cache,10:16
4.4.15,FlipSid3,Space Soldiers,nuke,16:14
4.4.15,3DMAX,INSHOCK,nuke,16:12
4.4.15,Reason,Atlantis,cache,16:14
4.4.15,Acer,Games4u,mirage,4:16
4.4.15,Orbit,malefiQ,cache,16:8
4.4.15,Publiclir.se,Playing Ducks,cache,11:16
4.4.15,Space Soldiers,myKPV.de,nuke,16:13
4.4.15,Menace,FlipSid3,mirage,11:16
4.4.15,Lemondogs,3DMAX,cache,6:16
4.4.15,puta,INSHOCK,nuke,8:16
4.4.15,LGB,CPH Wolves,mirage,16:9
4.4.15,CPH Wolves,LGB,overpass,5:16
4.4.15,Property,Gamers2,nuke,10:16
4.4.15,Gamers2,Property,mirage,9:16
4.4.15,Property,Gamers2,overpass,6:16
4.4.15,Virtus.pro,CPLAY,overpass,16:13
4.4.15,CPLAY,Virtus.pro,cache,4:16
4.4.15,TSM,dignitas,mirage,16:6
4.4.15,dignitas,TSM,nuke,6:16
3.4.15,schlaegeros,Reason,cache,2:16
3.4.15,malefiQ,nEophyte,inferno,16:6
3.4.15,Playing Ducks,jQntefabrikkeN,mirage,16:6
3.4.15,myKPV.de,FUGL?,nuke,16:3
3.4.15,Menace,Badger,dust2,16:10
3.4.15,Lemondogs,Sharkgaming,cobblestone,16:11
3.4.15,Temp.no,puta,mirage,11:16
3.4.15,INSHOCK,LGB,dust2,9:16
3.4.15,INSHOCK,LGB,cache,16:10
3.4.15,LGB,INSHOCK,mirage,16:12
3.4.15,3DMAX,CPH Wolves,mirage,8:16
3.4.15,CPH Wolves,3DMAX,overpass,16:1
3.4.15,3DMAX,CPH Wolves,nuke,16:8
3.4.15,TSM,Space Soldiers,dust2,16:8
3.4.15,Space Soldiers,TSM,inferno,4:16
3.4.15,Publiclir.se,Property,dust2,2:16
3.4.15,Property,Publiclir.se,cache,16:7
3.4.15,Publiclir.se,Property,inferno,16:5
3.4.15,Gamers2,Orbit,cobblestone,16:11
3.4.15,Orbit,Gamers2,cache,16:9
3.4.15,Gamers2,Orbit,overpass,16:4
3.4.15,Acer,CPLAY,cache,14:16
3.4.15,CPLAY,Acer,nuke,16:11
3.4.15,Atlantis,Virtus.pro,inferno,4:16
3.4.15,Virtus.pro,Atlantis,mirage,16:8
3.4.15,dignitas,FlipSid3,mirage,16:10
3.4.15,FlipSid3,dignitas,inferno,8:16
3.4.15,Lions,Games4u,inferno,11:16
3.4.15,Acer,Sharkgaming,dust2,16:14
3.4.15,Sharkgaming,Acer,mirage,13:16
3.4.15,nEophyte,FlipSid3,inferno,10:16
3.4.15,nEophyte,FlipSid3,nuke,14:16
3.4.15,Publiclir.se,myKPV.de,inferno,16:14
3.4.15,Publiclir.se,myKPV.de,cache,16:14
3.4.15,INSHOCK,Reason,mirage,16:7
3.4.15,Reason,INSHOCK,dust2,12:16
3.4.15,Reason,INSHOCK,inferno,16:14
3.4.15,Games4u,Orbit,inferno,5:16
3.4.15,Orbit,Games4u,cache,16:6
3.4.15,CPH Wolves,Menace,dust2,16:12
3.4.15,CPH Wolves,Menace,overpass,16:10
3.4.15,Atlantis,puta,inferno,16:1
3.4.15,puta,Atlantis,mirage,5:16
3.4.15,Space Soldiers,Playing Ducks,cache,16:7
3.4.15,Playing Ducks,Space Soldiers,dust2,16:13
3.4.15,Playing Ducks,Space Soldiers,cobblestone,13:16
3.4.15,nEophyte,Temp.no,mirage,16:14
3.4.15,nEophyte,Temp.no,inferno,16:7
3.4.15,CPLAY,FlipSid3,cobblestone,22:19
3.4.15,CPLAY,FlipSid3,overpass,22:20
3.4.15,CPLAY,FlipSid3,nuke,3:16
3.4.15,jQntefabrikkeN,Sharkgaming,dust2,9:16
3.4.15,Sharkgaming,jQntefabrikkeN,cache,10:16
3.4.15,jQntefabrikkeN,Sharkgaming,inferno,9:16
3.4.15,Acer,TSM,cobblestone,5:16
3.4.15,TSM,Acer,nuke,16:4
3.4.15,Lions,myKPV.de,mirage,8:16
3.4.15,Lions,myKPV.de,inferno,14:16
3.4.15,Publiclir.se,Virtus.pro,cache,5:16
3.4.15,Publiclir.se,Virtus.pro,mirage,2:16
3.4.15,INSHOCK,Badger,dust2,16:6
3.4.15,INSHOCK,Badger,nuke,16:5
3.4.15,Reason,Gamers2,mirage,5:16
3.4.15,Gamers2,Reason,cobblestone,12:16
3.4.15,Reason,Gamers2,cache,11:16
3.4.15,Games4u,FUGL?,dust2,16:4
3.4.15,Games4u,FUGL?,inferno,16:9
3.4.15,Menace,schlaegeros,mirage,16:5
3.4.15,Menace,schlaegeros,cache,16:4
3.4.15,dignitas,CPH Wolves,cobblestone,19:16
3.4.15,CPH Wolves,dignitas,inferno,10:16
3.4.15,Atlantis,malefiQ,dust2,16:11
3.4.15,Atlantis,malefiQ,cache,16:7
3.4.15,puta,LGB,dust2,9:16
3.4.15,puta,LGB,mirage,0:16
3.4.15,Lemondogs,Space Soldiers,cobblestone,8:16
3.4.15,Lemondogs,Space Soldiers,nuke,9:16
3.4.15,Property,Playing Ducks,cache,16:9
3.4.15,Playing Ducks,Property,mirage,10:16
3.4.15,Orbit,3DMAX,nuke,9:16
3.4.15,Orbit,3DMAX,cache,15:19
3.4.15,CPLAY,nEophyte,nuke,16:3
3.4.15,nEophyte,CPLAY,inferno,16:3
3.4.15,CPLAY,nEophyte,mirage,16:4
3.4.15,Temp.no,FlipSid3,cache,3:16
3.4.15,Temp.no,FlipSid3,nuke,1:16
3.4.15,Acer,Sharkgaming,nuke,16:2
3.4.15,Acer,Sharkgaming,mirage,16:10
3.4.15,TSM,jQntefabrikkeN,mirage,16:2
3.4.15,jQntefabrikkeN,TSM,inferno,4:16
3.4.15,myKPV.de,Publiclir.se,mirage,12:16
3.4.15,Publiclir.se,myKPV.de,cache,16:10
3.4.15,myKPV.de,Publiclir.se,inferno,16:11
3.4.15,Lions,Virtus.pro,nuke,2:16
3.4.15,Virtus.pro,Lions,inferno,16:11
3.4.15,Reason,INSHOCK,cache,16:8
3.4.15,Reason,INSHOCK,mirage,16:10
3.4.15,Gamers2,Badger,dust2,16:10
3.4.15,Gamers2,Badger,mirage,16:2
3.4.15,Games4u,3DMAX,inferno,13:16
3.4.15,Games4u,3DMAX,dust2,8:16
3.4.15,Orbit,FUGL?,inferno,16:9
3.4.15,Orbit,FUGL?,cache,16:6
3.4.15,dignitas,schlaegeros,cache,16:5
3.4.15,dignitas,schlaegeros,inferno,16:1
3.4.15,puta,Atlantis,nuke,16:13
3.4.15,puta,Atlantis,mirage,22:20
3.4.15,puta,Atlantis,cache,6:16
3.4.15,LGB,malefiQ,cache,16:6
3.4.15,LGB,malefiQ,mirage,16:6
3.4.15,Playing Ducks,Space Soldiers,mirage,16:3
3.4.15,Playing Ducks,Space Soldiers,cache,16:14
3.4.15,Lemondogs,Property,cache,3:16
3.4.15,Lemondogs,Property,inferno,0:16
3.4.15,CPH Wolves,Menace,dust2,16:13
3.4.15,CPH Wolves,Menace,overpass,16:9
3.4.15,SKDC,Mythic,inferno,16:4
3.4.15,Cloud9,eLevate,nuke,14:16
3.4.15,Liquid,CLG,mirage,16:7
2.4.15,FONA,Badger,dust2,5:16
2.4.15,jQntefabrikkeN,Free Transfer,cache,16:4
2.4.15,MnM,Lemondogs,cache,13:16
2.4.15,Lions,no_rhythm,mirage,19:16
